Identifier,F518_21h,F518_29h,F518_33h,F518_37h,F518_41h,F518_45h,F518_49h,F518_53h,F518_57h
SCO0001,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.062248843,0.060057493,0.047053963
SCO0002,0.24161021,0.062248843,0.091528318,0.047053963,0.178000095,0.047053963,0.047053963,0.047053963,0.047053963
SCO0003,0.24161021,0.850844315,0.047053963,0.047053963,0.067815744,0.047053963,0.062248843,0.088116152,0.047053963
SCO0004,1.829077893,2.884091764,0.485432939,0.446871511,0.290005925,0.732703218,0.728297068,0.566893863,0.481686047
SCO0005,1.257719377,1.313120854,0.214091136,0.088116152,0.288724199,0.643930836,0.400096545,0.150160596,0.479021001
SCO0006,0.24161021,0.062248843,0.318395765,0.047053963,0.047053963,0.047053963,0.066976712,0.047053963,0.047053963
SCO0007,0.24161021,0.062248843,0.318395765,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0008,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0009,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0010,0.24161021,1.182393812,0.047053963,0.826998075,0.047053963,0.065298648,0.609995555,0.060057493,0.154662545
SCO0011,0.24161021,0.062248843,0.318395765,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0012,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0013,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0014,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0015,0.24161021,0.062248843,0.047053963,0.060057493,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0016,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0017,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0018,0.818362999,0.062248843,0.047053963,0.060057493,0.047053963,0.065298648,0.047053963,0.047053963,0.047053963
SCO0019,0.24161021,0.062248843,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963,0.047053963
SCO0020,0.24161021,0.062248843,0.047053963,0.047053963,0.273529318,0.047053963,0.062248843,0.060057493,0.047053963
SCO0021,7.22045089,7.096567905,5.976876874,5.935799649,5.29648899,5.381484531,5.152963604,5.107110294,5.629851376
SCO0022,4.163547733,4.40773257,4.879344205,4.143470884,4.9772843,4.335810884,4.685801898,4.863792443,5.003162195
SCO0025,2.997416237,2.661149287,2.720639524,3.14762805,2.326749645,2.476005433,2.552745591,2.093263318,1.799871522
SCO0026,8.883456953,8.342361535,7.436121038,7.336979309,6.575498209,7.050717549,6.817852249,6.604927356,7.169158792
SCO0027,4.776184374,3.656879184,3.665364012,3.883404351,3.750285691,4.19070558,3.878721871,3.458483109,3.70348582
SCO0028,1.779786893,0.426289819,2.398822649,1.758016522,2.22256831,1.233817808,1.90288656,2.833289973,1.997023155
SCO0029,5.998403216,5.306301129,4.184135805,3.850091594,4.344430286,4.044255851,4.255468468,3.677447247,4.233048562
SCO0030,1.389721514,3.48092875,2.990169449,4.041010784,4.198597457,4.122271898,4.002824222,4.137440738,3.795027337
